headword	n_manual_sampsize
Feuer frei	
Feuer und Flamme sein	
feurige Kohlen auf jemandes Haupt sammeln	
fit wie ein Turnschuh	
fix und fertig	
fix und foxi	
fixe Idee	
Flagge zeigen	
Flausen im Kopf haben	
fluchen wie ein Bierkutscher	
fluchen wie ein Landsknecht	
flüssiges Brot	
französischer Kuss	
frech wie Oskar	
frei Haus	
frei Schnauze	
frei von der Leber weg	
frei von der Leber weg reden	
frei von der Leber weg sprechen	
fressen wie ein Scheunendrescher	
Freund und Feind	
frieren wie ein Schneider	
frische Luft schnappen	
frische Luft schöpfen	
friss, Vogel, oder stirb	
frohes Schaffen	
fröhliche Urständ feiern	
Früchte tragen	
früher oder später	
Fuß fassen	
für den Arsch sein	
für den Hugo sein	
für die Katz sein	
für etwas die Hand ins Feuer legen	
für jemanden die Hand ins Feuer legen	
für jemanden die Kastanien aus dem Feuer holen	
für jemanden durchs Feuer gehen	
für jemanden ein Buch mit sieben Siegeln sein	
für jemanden ein Fremdwort sein	
für lau	all
für sich	50
für umme	
für ’n Appel und ’n Ei	
gang und gäbe	
ganz Auge und Ohr sein	
ganz Ohr sein	
ganz und gar	
gar nicht	
Gas geben	
Geben ist seliger als Nehmen	
Geben ist seliger denn Nehmen	
gebranntes Kind	
gedacht sein	50
Gedanken lesen	
geduldig wie ein Lamm	
Gefahr laufen	
gegangen werden	100
gegen den Strom schwimmen	
gegen eine Mauer reden	
gegen eine Wand reden	
gegen Windmühlen kämpfen	
gegeneinander ausspielen	
Gegensätze ziehen sich an	
geh kacken	
geht doch	
geht’s noch	
geil ins Kraut schießen	
Geld allein macht nicht glücklich	
Geld genug macht dumme Leute klug	
Geld regiert die Welt	
Geld stinkt nicht	
Geld wie Heu haben	
geliefert sein	50
gemeinsame Sache machen	
genug ist genug	
gesagt, getan	
Geschmacksfäden ziehen	
gesiebte Luft atmen	
gesund wie ein Fisch im Wasser	
Gift und Galle speien	
Gift und Galle spucken	
glatt wie ein Aal sein	
glänzen wie ein Judenei	all
glühende Kohlen auf jemandes Haupt sammeln	
Gnade vor Recht ergehen lassen	
Gold in der Kehle haben	
Gold wert sein	
goldener Fallschirm	
Gott hab ihn selig	
Gott hab sie selig	
Gott sei Dank	
Gras über etwas wachsen lassen	
Griff ins Klo	
grinsen wie ein Honigkuchenpferd	
grobes Geschütz auffahren	
große Augen machen	
große Rosinen im Kopf haben	
große Töne spucken	
Grund genug sein	
Gruppenbild mit Dame	
grün und blau schlagen	
grüne Weihnachten	
grünes Licht geben	
Grütze im Kopf haben	
gut beieinander sein	
gut im Zug sein	
gute Karten haben	
gute Miene zum bösen Spiel machen	
guten Appetit	
guten Mutes sein	
guter Dinge	
guter Hoffnung sein	
gutes Geld schlechtem hinterherwerfen	
gäng und gäbe	
Göttin sei Dank	
Haare auf den Zähnen haben	
Hackl im Kreuz	
Hahn im Korb sein	
Hahn im Korbe sein	
halbes Hemd	
Halbgott in Weiß	
halblang machen	
Hals über Kopf	
Hals- und Beinbruch	
halten wie ein Dachdecker	
halt’s Maul	
Hand an sich legen	
Hand anlegen	
Hand aufs Herz	
Hand und Fuß haben	
Hans Dampf in allen Gassen	
Hans was Heiri	
Hansdampf in allen Gassen	
hart auf hart kommen	
hart im Nehmen sein	
hasch mich, ich bin der Frühling	
Haus und Hof	
hegen und pflegen	
heiße Luft	
hellhörig werden	
heraus mit der Sprache	
Heulen und Zähneklappern	
heulen wie ein Schlosshund	
hie und da	
Hier und Jetzt	
Himmel und Hölle in Bewegung setzen	
hin und her	
Hin- und Widerrennen	
Hin- und Wiederrennen	
hinten Lyzeum, vorne Museum	
hinter dem Mond leben	
hinter den Kulissen	
hinter die Ohren schreiben	
hinter Gittern sitzen	
hinter Schloss und Riegel kommen	
hinter schwedischen Gardinen sitzen	
hinter verschlossenen Türen	
hinter vorgehaltener Hand	
Hinz und Kunz	
hoch zehn	
Holla die Waldfee	
Holz in den Wald tragen	
Holz vor der Hütte haben	
Holzauge, sei wachsam	
Hopfen und Malz ist verloren	
Hotel Mama	
Hummeln im Hintern haben	
hupf in Gatsch und schlog a Wölln	
husch, husch, die Waldfee	
Hustekuchen	
Hut ab	
hätte, hätte, Fahrradkette	
hüben und drüben	
hüben wie drüben	
ich glaub, mein Schwein pfeift	
ihres Zeichens	
im Argen liegen	
im Arsch sein	
im Begriff sein	
im besten Zuge sein	
im Clinch liegen	
im Dreck sitzen	
im Dreck stecken	
im Dreh sein	
im Dreieck springen	
im Dunkeln tappen	
im Eimer sein	
im Fall	100
im falschen Film sein	
im falschen Zug sitzen	
im Ganzen	
im Geld schwimmen	
im gleichen Boot sitzen	
im großen Stil	
im Großen und Ganzen	
im Handumdrehen	
im Krieg bleiben	
im Laufe der Zeit	
im Lot sein	
im Munde zergehen lassen	
im Namen	
im Namen von	
im Nebel herumstochern	
im Nebel stochern	
im Nu	
im Sand verlaufen	
im Sande verlaufen	
im Schlaf	50
im Schweiße seines Angesichts	
im siebten Himmel sein	
im Spiel sein	
im Sterben liegen	
im Trüben fischen	
im wahrsten Sinne des Wortes	
im Zeichen von etwas stehen	
in Abrahams Wurstkessel	
in aller Munde sein	
in Amt und Würden	
in anderen Umständen sein	
in Angst und Schrecken versetzen	
in Asche legen	
in Bausch und Bogen	
in besten Händen sein	
in Betracht ziehen	
in das Reich der Schatten hinabsteigen	
in den Arsch gehen	
in den Arsch kriechen	
in den Boden versinken	
in den Clinch gehen	
in den Clinch nehmen	
in den Federn	
in den Hafen der Ehe einlaufen	
in den Keller gehen, um zu lachen	
in den letzten Zügen liegen	
in den Rücken fallen	
in den Sand setzen	
in den sauren Apfel beißen	
in den Schatten stellen	
in den Seilen hängen	
in den Startlöchern scharren	
in den Startlöchern sein	
in den Startlöchern sitzen	
in den Startlöchern stehen	
in den Startlöchern warten	
in den Sternen geschrieben stehen	
in den Sternen stehen	
in der Klemme sitzen	
in der Klemme stecken	
in der Kreide stehen	
in der Lage sein	
in der Luft liegen	
in der Patsche sitzen	
in der Scheiße sitzen	
in der Scheiße stecken	
in der Schmiere sitzen	
in der Tat	
in der Tinte sitzen	
in der Versenkung verschwinden	
in die Beine gehen	
in die Binsen gehen	
in die Bredouille bringen	
in die Bresche springen	
in die Brüche gehen	
in die eigene Tasche wirtschaften	
in die Eisen gehen	
in die ewigen Jagdgründe eingehen	
in die Federn	
in die Hose gehen	
in die Höhle des Löwen gehen	
in die Irre gehen	
in die Luft fliegen	
in die Luft jagen	
in die Pilze gehen	
in die Puschen kommen	
in die Steinzeit zurückbomben	
in die Suppe schauen mehr Augen hinein als heraus	
in die Trickkiste greifen	
in ein Wespennest stechen	
in einem Affenzahn	
in einem fort	
in einem goldenen Käfig sitzen	
in einem Stück	
in einem Zug	50
in einem Zuge	
in etwas zu Hause sein	50
in Fahrt	
in festen Händen sein	
in flagranti	
in Flammen aufgehen	
in Flammen stehen	
in Frage kommen	
in freier Wildbahn	
in Furcht und Schrecken versetzen	
in Gottes Namen	
in guten Händen sein	
in Hülle und Fülle	
in jemandem seinen Meister finden	
in jemandes Namen	
in Kauf nehmen	
in Kraft treten	
in Lohn und Brot sein	
in Lohn und Brot stehen	
in Minne	
in Morpheus’ Armen	
in Morpheus’ Armen ruhen	
in natura	
in Not und Tod	
in null Komma nichts	
in Rauch und Flammen aufgehen	
in rauen Mengen	
in Reih und Glied	
in Sack und Asche gehen	
in Saus und Braus leben	
in Schach halten	
in See gehen	
in See stechen	
in See stoßen	
in sicheren Händen sein	
in sieben Sprachen schweigen	
in Stein gemeißelt sein	
in Strömen regnen	
in Teufels Küche kommen	
in trockenen Tüchern	
in vollem Gange sein	
in vorauseilendem Gehorsam	
in Wind und Wetter	
in Windeseile	
in Zungen sprechen	
in Züchten	
innere Stimme	
ins Auge gehen	
ins Blaue	
ins Bockshorn jagen	
ins Fettnäpfchen treten	
ins Gedränge geraten	
ins Gedränge kommen	
ins Gewicht fallen	
ins gleiche Horn blasen	
ins gleiche Horn stoßen	
ins gleiche Horn tuten	
ins Gras beißen	
ins Hintertreffen geraten	
ins kalte Wasser springen	
ins Klo greifen	
ins Kraut schießen	
ins Lot kommen	
ins Ohr gehen	
ins rechte Licht rücken	
ins Reich der Fabel gehören	
ins Reine schreiben	
ins Schwarze treffen	
ins Stocken geraten	
ins Wasser fallen	50
ins Wasser gehen	all
Ironie des Schicksals	
Irren ist menschlich	
Jacke wie Hose sein	
jahraus, jahrein	
je oller, je doller	
jede Menge	
jedem das Seine	
jedem Tierchen sein Pläsierchen	
jeden Pfennig dreimal umdrehen	
jeden Pfennig dreimal umdrehen müssen	
jeden Pfennig zweimal umdrehen	
jeden Pfennig zweimal umdrehen müssen	
jeder hat sein Bündel zu tragen	
jedes Wort auf die Goldwaage legen	
jedes Wort auf die Goldwage legen	
jemand bekommt Wasser auf die Mühle	
jemand hat einen Zahn drauf	
jemandem alles aus der Nase ziehen müssen	
jemandem am Arsch vorbeigehen	
jemandem am Herzen liegen	
jemandem an die Wäsche gehen	
jemandem ans Bein pissen	
jemandem ans Herz gewachsen sein	
jemandem auf den Geist gehen	
jemandem auf den Keks gehen	
jemandem auf den Nägeln brennen	
jemandem auf den Senkel gehen	
jemandem auf den Wecker fallen	
jemandem auf den Wecker gehen	
jemandem auf den Zahn fühlen	
jemandem auf der Nase herumtanzen	
jemandem auf der Tasche liegen	
jemandem auf der Zunge liegen	
jemandem auf die Finger klopfen	
jemandem auf die Füße treten	
jemandem auf die Hühneraugen treten	
jemandem auf die Schliche kommen	
jemandem auf die Schulter klopfen	
jemandem auf die Sprünge helfen	
jemandem aufs Dach steigen	
jemandem aus der Hand fressen	
jemandem aus der Patsche helfen	
jemandem Avancen machen	
jemandem Bescheid geben	
jemandem bleibt der Bissen im Hals stecken	
jemandem bleibt die Sprache weg	
jemandem bleibt die Spucke weg	
jemandem Brief und Siegel geben	
jemandem böhmische Dörfer sein	
jemandem Dampf machen	
jemandem das Fell gerben	
jemandem das Fell über die Ohren ziehen	
jemandem das Gas abdrehen	
jemandem das Hackl ins Kreuz hauen	
jemandem das Hackl ins Kreuz werfen	
jemandem das Handwerk legen	
jemandem das Herz abdrücken	
jemandem das Herz brechen	
jemandem das Kraut ausschütten	
jemandem das letzte Geleit geben	
jemandem das Ohr abkauen	
jemandem das Salz in der Suppe nicht gönnen	
jemandem das Wasser abgraben	
jemandem den Buckel runterrutschen	
jemandem den Garaus machen	
jemandem den Geldhahn abdrehen	
jemandem den Hals abdrehen	
jemandem den Hof machen	
jemandem den Kopf verdrehen	
jemandem den Laufpass geben	
jemandem den Leviten lesen	
jemandem den Marsch blasen	
jemandem den Mund verbieten	
jemandem den Rücken freihalten	
jemandem den Rücken stärken	
jemandem den Schwarzen Peter zuschieben	
jemandem den Schwarzen Peter zuspielen	
jemandem den Vogel zeigen	
jemandem den Wind aus den Segeln nehmen	
jemandem den Zahn ziehen	
jemandem die Butter vom Brot nehmen	
jemandem die Daumen drücken	
jemandem die Flötentöne beibringen	
jemandem die Fresse polieren	
jemandem die Füße küssen	
jemandem die Gurgel abdrehen	
jemandem die Hammelbeine lang ziehen	
jemandem die Hammelbeine langziehen	
jemandem die Hörner aufsetzen	
jemandem die Hörner zeigen	
jemandem die kalte Schulter zeigen	
jemandem die Laune verhageln	
jemandem die Leviten lesen	
jemandem die Luft abdrehen	
jemandem die Luft abdrücken	
jemandem die Löffel langziehen	
jemandem die Ohren abkauen	
jemandem die Ohren langziehen	
jemandem die Pistole auf die Brust setzen	
jemandem die Schuld in die Schuhe schieben	
jemandem die Sprache rauben	
jemandem die Sprache verschlagen	
jemandem die Stange halten	
jemandem die Stiefel lecken	
jemandem die Suppe versalzen	
jemandem die Worte in den Mund legen	
jemandem die Zeit stehlen	
jemandem die Zunge lösen	
jemandem diesen Zahn ziehen	
jemandem dreht sich alles im Kreis	
jemandem durch die Finger schlüpfen	
jemandem durch die Lappen gehen	
jemandem ein Buch mit sieben Siegeln sein	
jemandem ein Dorn im Auge sein	
jemandem ein Kuckucksei ins Nest legen	
jemandem ein Ohr abkauen	
jemandem ein Ohr abreden	
jemandem ein paar scheuern	
jemandem ein Schnippchen schlagen	
jemandem ein X für ein U vormachen	
jemandem eine Abfuhr erteilen	
jemandem eine auflegen	200
jemandem eine kleben	all
jemandem eine scheuern	all
jemandem einen Bären aufbinden	
jemandem einen Bärendienst erweisen	
jemandem einen Denkzettel geben	
jemandem einen Denkzettel verpassen	
jemandem einen Floh ins Ohr setzen	
jemandem einen Korb geben	
jemandem einen Lichasdienst erweisen	
jemandem einen Maulkorb verpassen	
jemandem einen Strich durch die Rechnung machen	
jemandem einen Strick aus etwas drehen	
jemandem einen Vogel zeigen	
jemandem eins auswischen	
jemandem etwas aufs Auge drücken	
jemandem etwas aus der Nase ziehen	
jemandem etwas hoch anrechnen	
jemandem etwas in die Schuhe schieben	
jemandem etwas mit gleicher Münze heimzahlen	
jemandem fehlen die Worte	
jemandem Feuer unterm Arsch machen	
jemandem Feuer unterm Hintern machen	
jemandem Flötentöne beibringen	
jemandem fällt das Monokel in den Kakao	
jemandem fällt die Decke auf den Kopf	
jemandem fällt ein Stein vom Herzen	
jemandem gegen den Strich gehen	
jemandem geht das Messer im Sack auf	
jemandem geht das Messer in der Hose auf	
jemandem geht das Messer in der Tasche auf	
jemandem geht der Arsch auf Grundeis	
jemandem geht der Hut hoch	
jemandem geht einer ab	all
jemandem Glauben schenken	
jemandem gleich sein	50
jemandem Honig um den Bart schmieren	
jemandem Honig um den Mund schmieren	
jemandem Honig ums Maul schmieren	
jemandem hängt der Magen in den Kniekehlen	
jemandem hängt die Zunge zum Hals heraus	
jemandem Hörner aufsetzen	
jemandem im Nacken sitzen	
jemandem in den Kram passen	
jemandem in den Schoß fallen	
jemandem in den Suppentopf fallen	
jemandem in die Glieder fahren	
jemandem in die Karten schauen	all
jemandem in die Suppe fallen	
jemandem in die Suppe spucken	
jemandem ins Handwerk pfuschen	
jemandem ist eine Laus über die Leber gelaufen	
jemandem jemanden auf den Hals hetzen	
jemandem kann man das Vaterunser durch die Backen blasen	
jemandem keinen Bissen Brot gönnen	
jemandem kocht das Blut in den Adern	
jemandem Kontra geben	
jemandem Löcher in den Bauch fragen	
jemandem nicht das Schwarze unter den Fingernägeln gönnen	
jemandem nicht das Schwarze unter den Nägeln gönnen	
jemandem nicht das Wasser reichen können	
jemandem nicht den Bissen Brot gönnen	
jemandem nicht die Butter auf dem Brot gönnen	
jemandem nicht grün sein	
jemandem nichts abgucken	
jemandem nichts weggucken	
jemandem platzt der Kragen	
jemandem Rede und Antwort stehen	
jemandem reinen Wein einschenken	
jemandem Sand in die Augen streuen	
jemandem schöne Augen machen	
jemandem sind die Hände gebunden	
jemandem steht das Wasser bis zum Hals	
jemandem steht das Wasser bis zur Kehle	
jemandem unter den Fingernägeln brennen	
jemandem unter den Nägeln brennen	
jemandem verschlägt es die Sprache	
jemandem zu Bewusstsein kommen	
jemandem zu nahe treten	
jemandem zum Bewusstsein kommen	
jemandem zur Hand gehen	
jemandem zur Last fallen	
jemandem zur Seite springen	
jemandem zur Seite treten	
jemandem über den Weg laufen	
jemanden am Schlafittchen haben	
jemanden an den Bettelstab bringen	
jemanden an den Galgen bringen	
jemanden an der Nase herumführen	
jemanden an die Kandare bekommen	
jemanden an die Kandare bringen	
jemanden an die Kandare nehmen	
jemanden an die Wand spielen	
jemanden an die Wand stellen	
jemanden auf den Arm nehmen	
jemanden auf den Plan rufen	
jemanden auf die Folter spannen	
jemanden auf die Hörner nehmen	
jemanden auf die Palme bringen	
jemanden auf die Schaufel nehmen	
jemanden auf die Schippe nehmen	
jemanden aufs Altenteil schicken	
jemanden aufs Korn nehmen	
jemanden aus der Gosse auflesen	
jemanden ausnehmen wie eine Weihnachtsgans	
jemanden bringen keine zehn Pferde irgendwohin	
jemanden den Teufel scheren	
jemanden den Wölfen zum Fraß vorwerfen	
jemanden durch den Kakao ziehen	
jemanden durch den Wolf drehen	
jemanden einen feuchten Kehricht angehen	
jemanden einen Kopf kürzer machen	
jemanden für dumm verkaufen	
jemanden für voll ansehen	
jemanden für voll nehmen	
jemanden fürchten wie der Teufel das Weihwasser	
jemanden gefressen haben	all
jemanden gut im Zug haben	
jemanden hellhörig machen	
jemanden hinter die Fichte führen	
jemanden hinters Licht führen	
jemanden im eigenen Saft schmoren lassen	
jemanden im Regen stehen lassen	
jemanden im Stich lassen	
jemanden in Atem halten	
jemanden in den April schicken	
jemanden in den Senkel stellen	
jemanden in die Finger bekommen	
jemanden in die Finger kriegen	
jemanden in die Knie zwingen	
jemanden in die Mangel nehmen	
jemanden in die Wüste schicken	
jemanden in die Zange nehmen	
jemanden in Watte packen	
jemanden in Zuckerwatte packen	
jemanden ins Herz schließen	
jemanden ins kalte Wasser werfen	
jemanden koram nehmen	
jemanden kreuzweise können	
jemanden Lügen strafen	
jemanden mit Glacéhandschuhen anfassen	
jemanden mit ins Boot holen	
jemanden mit offenen Armen aufnehmen	
jemanden mit offenen Armen empfangen	
jemanden mit Samthandschuhen anfassen	
jemanden Mores lehren	
jemanden Moritz lehren	
jemanden mundtot machen	
jemanden nicht für voll nehmen	
jemanden nicht mit dem Arsch angucken	
jemanden nicht mit dem Arsch ansehen	
jemanden teuer zu stehen kommen	
jemanden um den kleinen Finger wickeln	
jemanden um die Ecke bringen	
jemanden um Lohn und Brot bringen	
jemanden ungespitzt in den Boden hauen	
jemanden ungespitzt in den Boden rammen	
jemanden ungespitzt in den Boden schlagen	
jemanden unter der Fuchtel haben	
jemanden unter die Erde bringen	
jemanden unter Druck setzen	
jemanden unter seine Fittiche nehmen	
jemanden vom Hocker hauen	
jemanden vom Hocker reißen	
jemanden vom rechten Weg abbringen	
jemanden vor seinen Karren spannen	
jemanden wie Luft behandeln	
jemanden windelweich prügeln	
jemanden windelweich schlagen	
jemanden zum Hahnrei machen	
jemanden zum Narren halten	
jemanden zum Teufel schicken	
jemanden zur Minna machen	
jemanden zur Rede stellen	
jemanden zur Schnecke machen	
jemanden zur Seite nehmen	
jemanden zur Strecke bringen	
jemanden über den Haufen fahren	
jemanden über den Haufen rennen	
jemanden über den Löffel barbieren	
jemanden über den Tisch ziehen	
jemanden übers Knie legen	
jemandes bessere Hälfte	
jemandes Herr werden	50
jemandes Kreise stören	
jemandes letztes Stündlein hat geschlagen	
jemandes Mann sein	50
jemandes Strümpfe ziehen Wasser	
jetzt schlägts dreizehn	
Jubel, Trubel, Heiterkeit	
junges Gemüse	
kalte Dusche	
kalte Füße bekommen	
kaltes Blut bewahren	
katholischer als der Papst sein	
kein Aas	
kein Arsch	
kein Auge zutun	
kein Blatt vor den Mund nehmen	
kein Einsehen haben	
kein gutes Haar an etwas lassen	
kein gutes Haar an jemandem lassen	
kein heuriger Hase sein	
kein Kind von Traurigkeit sein	
kein Krösus sein	
kein schöner Zug von jemandem sein	
kein Sterbenswörtchen sagen	
kein unbeschriebenes Blatt sein	
kein Wunder	
kein Wässerchen trüben können	
kein Zuckerschlecken sein	
keine Aktien in etwas haben	
keine Augen im Kopf haben	
keine Eier in der Hose haben	
keine Hand rühren	
keine Menschenseele	
keine Rolle spielen	
keine Sau	
keine Schnitte haben	
keine Verwandten kennen	
keinen Abgang finden	
keinen Arsch in der Hose haben	
keinen blassen Dunst haben	
keinen blassen Schimmer haben	
keinen Bock haben	
keinen Fick auf etwas geben	
keinen Finger krumm machen	
keinen Finger rühren	
keinen Groschen wert sein	
keinen guten Faden an jemandem lassen	
keinen guten Faden miteinander spinnen	
keinen Hehl aus etwas machen	
keinen Heller wert sein	
keinen Pfennig wert sein	
keinen Pfifferling wert sein	
keinen Plan haben	
keinen Schimmer haben	
Kette geben	all
Kilometer fressen	
Klappe zu, Affe tot	
klar Schiff machen	
klar wie Kloßbrühe	
klar zum Halsen	
klar zum Wenden	
klein beigeben	
klein, aber fein	
klein-klein spielen	
kleine Brötchen backen	
kleinere Brötchen backen	
Kleinvieh macht auch Mist	
Klinken putzen	
klipp und klar	
Knast schieben	
Kohldampf schieben	
komme, was wolle	
Kommen und Gehen	
kommt Zeit, kommt Rat	
Kopf hoch	
Kopf und Kragen riskieren	
koste es, was es wolle	
Kreide fressen	
Kreise ziehen	
Krethi und Plethi	
Kult sein	all
kurz angebunden	
kurz und bündig	
kurz vor Ultimo	
Lack gesoffen haben	
Land gewinnen	200
Land unter	all
landauf, landab	
lange Rede, kurzer Sinn	
langer Rede kurzer Sinn	
laut denken	
Laut geben	100
leben und leben lassen	
leben wie Gott in Frankreich	
leck mich am Arsch	
leeres Stroh dreschen	
leeres Versprechen	
Leib und Leben	
Leib und Seele	
leichten Herzens	
Leine ziehen	
letzte Grüße aus Davos	
let’s fetz	
lichterloh im Strafraum brennen	
Liebe auf den ersten Blick	
Liebe machen	
Liebe macht blind	
Liebe und Grießschmarren	
lieben lernen	
lieber ein Ende mit Schrecken als ein Schrecken ohne Ende	
linke Tasche, rechte Tasche	
links liegen lassen	
locker vom Hocker	
Luft holen	
Luftschlösser bauen	
Lunte riechen	
lästiges Wimmerl	
lügen wie gedruckt	
lügen, dass sich die Balken biegen	
macht nichts	all
machtlos vis-à-vis stehen	
mach’s gut	
man lernt nie aus	
Mann und Maus	
Manschetten haben	
Marke Bahndamm	
Marke Eigenbau	
maschallah	
matt setzen	
Matthäi am Letzten sein	
Maulaffen feilhalten	
mehr Glück als Verstand haben	
mehr schlecht als recht	
mehr Schulden als Haare auf dem Kopf haben	
mehrere Eisen im Feuer haben	
mein lieber Herr Gesangsverein	
mein lieber Scholli	
mein lieber Schwan	
mein Name ist Hase	
meine Fresse	
meine Wenigkeit	
mir nichts, dir nichts	
mit Abstand	
mit Ach und Krach	
mit allem und jedem rechnen	
mit allen Hunden gehetzt sein	
mit allen Schikanen	
mit allen Wassern gewaschen sein	
mit Alsterwasser getauft sein	
mit angezogener Handbremse	
mit Blitzesschnelle	
mit bloßem Auge	
mit Bomben und Granaten	
mit dem Feuer spielen	
mit dem Klammerbeutel gepudert sein	
mit dem Kopf durch die Wand wollen	
mit dem Latein am Ende sein	
mit dem linken Fuß zuerst aufgestanden sein	
mit dem Ofenrohr ins Gebirge gucken	
mit dem Ofenrohr ins Gebirge schauen	
mit dem Rücken zur Wand stehen	
mit dem Strom schwimmen	
mit dem Säbel rasseln	
mit dem Zaunpfahl winken	
mit den Hufen scharren	
mit den Schultern zucken	
mit den Wölfen heulen	
mit der fünfzinkigen Gabel essen	
mit der Sprache herausrücken	
mit der Tür ins Haus fallen	
mit der Wurst nach dem Schinken werfen	
mit doppelter Zunge reden	
mit doppelter Zunge sprechen	
mit einem Avec	
mit einem Bein im Gefängnis stehen	
mit einem blauen Auge davonkommen	
mit einem Fuß im Grab stehen	
mit einem Mal	
mit einem Schlag	
mit eisernem Besen kehren	
mit erhobenem Zeigefinger	
mit etwas hinter dem Berg halten	
mit etwas hinterm Berg halten	
mit etwas ist es nicht getan	
mit etwas nichts zu tun haben	
mit etwas nichts zu tun haben wollen	
mit etwas nur so um sich werfen	
mit etwas Schindluder treiben	
mit etwas schwanger gehen	
mit Fleiß	
mit Fug und Recht	
mit Füßen getreten werden	
mit genauer Not	
mit gespaltener Zunge reden	
mit gespaltener Zunge sprechen	
mit gezinkten Karten spielen	
mit Haken und Ösen	
mit harten Bandagen kämpfen	
mit heißer Nadel gestrickt	
mit Hängen und Würgen	
mit jemandem Deutsch reden	
mit jemandem ein Hühnchen zu rupfen haben	
mit jemandem gehen	200
mit jemandem in die Wolle geraten	
mit jemandem ins Bett steigen	
mit jemandem ist nicht gut Kirschen essen	
mit jemandem Katz und Maus spielen	
mit jemandem nichts zu tun haben wollen	
mit jemandem noch ein Hühnchen zu rupfen haben	
mit jemandem Schindluder treiben	
mit jemandem Tuchfühlung aufnehmen	
mit jemandem Tuchfühlung halten	
mit Kanonen auf Spatzen schießen	
mit Kind und Kegel	
mit knapper Not	
mit Leib und Seele	
mit List und Tücke	
mit Müh und Not	
mit Mühe und Not	
mit offenem Visier kämpfen	
mit offenen Augen ins Unglück rennen	
mit offenen Karten spielen	
mit Pauken und Trompeten	
mit rechten Dingen zugehen	
mit Sack und Pack	
mit seinem Latein am Ende sein	
mit seinem Latein zu Ende sein	
mit seinen Pfunden wuchern	
mit sich reden lassen	
mit Speck fängt man Mäuse	
mit spitzer Feder rechnen	
mit Spreewasser getauft sein	
mit unbewaffnetem Auge	
mit verdeckten Karten spielen	
mit von der Partie sein	
mit wehenden Fahnen	
mit Zitronen handeln	
mit zweierlei Maß messen	
miteinander schlafen	
mitgefangen, mitgehangen	
mitgegangen, mitgefangen	
mitgegangen, mitgehangen	
Moos ansetzen	
Morgenluft schnuppern	
Morgenluft wittern	
mutatis mutandis	
Mutter Courage	
Männchen machen	
Männlein und Weiblein	
Mücken seihen und Kamele verschlucken	
na und	
nach Adam Ries	
nach Adam Riese	
nach dem Mond gehen	
nach den Sternen greifen	
nach Herzenslust	
nach hinten losgehen	
nach Lust und Laune	
nach menschlichem Ermessen	
nach Schema F	
nach sich ziehen	
nach Strich und Faden	
nachtaus, nachtein	
nachtein, nachtaus	
nah am Wasser gebaut	
nass bis auf die Haut	
Nebelkerzen werfen	
neben der Kappe sein	
Nerven wie Drahtseile haben	
Nerven wie Stahl haben	
Nerven wie Stricke haben	
neue Besen kehren gut	
nicht alle Latten am Zaun haben	
nicht alle Pfeile im Köcher haben	
nicht alle Tassen im Schrank haben	
nicht auf allen Hochzeiten gleichzeitig tanzen können	
nicht auf allen Hochzeiten tanzen können	
nicht auf den Mund gefallen sein	
nicht auf der Brennsuppe dahergeschwommen sein	
nicht auf zwei Hochzeiten gleichzeitig tanzen können	
nicht auf zwei Hochzeiten tanzen können	
nicht aus dem Quark kommen	
nicht aus der Welt sein	
nicht das Gelbe vom Ei sein	
nicht der Rede wert sein	
nicht die Bohne	
nicht die Bohne interessieren	
nicht die feine englische Art sein	
nicht ganz bei Trost sein	
nicht gerade das Gelbe vom Ei sein	
nicht gerade die tiefen Teller erfunden haben	
nicht im Entferntesten	
nicht jemandes Bier sein	
nicht lange fackeln	
nicht müde werden	
nicht ohne sein	all
nicht um Haaresbreite nachgeben	
nicht ums Verrecken	
nicht vom Fleck kommen	
nicht von gestern sein	
nicht von schlechten Eltern	
nicht von zwölf bis Mittag	
nicht zu Schmidtchen gehen, sondern zu Schmidt	
nichts anbrennen lassen	
nichts für ungut	
nichts Gutes im Schilde führen	
nichts wie …	all
nichts zu melden haben	
Nille kauen	
Nille knabbern	
noch einen Pfeil im Köcher haben	
noch grün hinter den Ohren sein	
noch in den Kinderschuhen stecken	
noch ist Polen nicht verloren	
noch und noch	
nomen est omen	
nun schlägts dreizehn	
nur Bahnhof verstehen	
nur Bares ist Wahres	
nur die Spitze des Eisbergs sein	
nur mit dem Finger schnippen müssen	
nur mit dem Finger schnipsen müssen	
nur noch ein Schatten seiner selbst sein	
nur über meine Leiche	
Nägel mit Köpfen machen	
oben ohne	
ohne eine Miene zu verziehen	
ohne mit der Wimper zu zucken	
ohne Moos nichts los	
ohne Moos nix los	
ohne Punkt und Komma	
ohne Unterlass	
ohne Wenn und Aber	
ohne Zahl	
Optik schieben	
ortsfest wie ein Schneemann sein	
pacta sunt servanda	
panta rhei	
par ordre du mufti	
Paroli bieten	
passen wie die Faust aufs Auge	
Pate stehen	
per du sein	
per Taille	
Perlen vor die Säue werfen	
peu à peu	
Pfeifendeckel	
Pfiffkas	
pfui Teufel	
Pi mal Daumen	
Pipi in den Augen haben	
polnische Wirtschaft	all
post festum	
pro bono	
pro Nase	
Protokoll errichten	
Pusteblume	
Pustekuchen	
päpstlicher als der Papst sein	
pünktlich wie die Maurer	
Quadratur des Kreises	
Quark mit Soße	
Quatsch mit Sauce	
Quatsch mit Soße	
quod erat demonstrandum	
